Q3624078	sovereign state
Q1728107	Kantonsschule
Q3953379	superior graduate school in Italy
Q3476533	monumental sculpture
Q1137352	French Road Cycling Cup
Q269528	unincorporated area
Q3284499	capitol building
Q1005420	federal office
Q34032	Giro di Lombardia
Q853252	Mining town
Q2915955	philosophical movement
Q2031836	Eastern Orthodox church
Q55998242	Administrative Region of Quebec
Q380093	film school
Q1352795	cinematheque
Q15911738	hydroelectric power station
Q350895	abandoned village
Q22674925	former populated place
Q1496967	territorial entity
Q514989	passenger transport executive
Q746938	brigade group
Q6528244	privy council
Q149621	district
Q82117	city gate
Q1279564	short story collection
Q2637056	Soyuz-T
Q21815132	Nationalpark
Q643684	jukebox musical
Q3685462	commune of Haiti
Q15921300	sector of Bucharest
Q20011081	reformed
Q721830	pay television
Q26156208	floorball club
Q25653	ferry
Q81103	cannon
Q187939	manufacturing
Q107390	federated state
Q840019	district of Latvia
Q3910694	civil parish
Q16678561	image film
Q11425	animation
Q642961	Reichsgau
Q178790	trade union
Q1162817	None
Q21198342	manga series
Q242492	shōjo
Q1589009	privately held company
Q1068842	footbridge
Q1853630	constituency of Namibia
Q28659128	city of North Korea
Q1210725	secession
Q575727	museum ship
Q12570	suspension bridge
Q328468	Nazi concentration camp
Q24046198	Air Fleet
Q7933191	violent non-state actor
Q59537665	campus university
Q59281	provisional government
Q375336	film studio
Q618123	geographical object
Q708135	Silver Bear
Q4220917	film award
Q1970365	natural history museum
Q1499496	German presidential election
Q1132300	metropolitan region in Germany
Q831663	military campaign
Q3831861	None
Q1336152	princely state of the British Raj
Q15298259	wizard in the Harry Potter universe
Q830248	animagus
Q33179355	Gryffindor student
Q3375722	theatrical character
Q455403	grand hotel
Q2519340	administrative building
Q6979644	National parkway
Q800517	National Scenic Byway
Q5038204	card association
Q4677783	Act of Parliament of the United Kingdom
Q680655	constitutional document
Q476075	province of Burundi
Q21664088	two-part episode
Q253137	rock opera
Q11822917	horse racing venue
Q45242174	gazetted locality of Victoria
Q388602	electoral alliance
Q8719053	music venue
Q50256	district of Hong Kong
Q390947	Federal Government of Belgium
Q17270000	football club
Q50808536	national handball team
Q2425489	Soyuz-TMA
Q57733494	badminton event
Q2400020	function hall
Q41253	movie theater
Q254450	planning and statistical region of Hungary
Q63969188	tapestry manufactory
Q159184	two-lane expressway
Q2056881	rijksweg
Q2112349	district-level town of Vietnam
Q1800833	rockumentary
Q22808060	state song of a state of the United States
Q18328106	religion-related award
Q550089	astronomical survey
Q836688	ancient Chinese state
Q4387609	architectural firm
Q846327	region of Mauritania
Q12876091	municipal/local community
Q1378975	convention center
Q132241	festival
Q1216498	ludi
Q57315116	municipality of the Republika Srpska
Q13593818	film trilogy
Q17362920	Wikimedia duplicated page
Q29300714	international association
Q5193377	cultural institution
Q21010817	city of Pennsylvania
Q10498148	research council
Q175185	rural area
Q102496	parish
Q27303890	fictional donkey
Q1137691	region of Somaliland
Q1025961	capital of Japan
Q11643523	None
Q55558200	local government area of New South Wales
Q608843	region of Namibia
Q20653566	UCI Trade Team III
Q15411479	town of Connecticut
Q1021290	music school
Q15383394	peace prize
Q4818169	attempted murder
Q1620797	historic district in the United States
Q209465	campus
Q615150	land-grant university
Q2264478	district of Slovakia
Q3331189	version, edition, or translation
Q40024	Satellite Award
Q59104206	None
Q148837	polis
Q27303676	fictional cat
Q555937	tidal island
Q19963413	media conglomerate
Q22669525	Sierra Leonean general election
Q34651	Christian Church
Q1530022	religious organization
Q32884	Green Lantern
Q1322134	gulf
Q180516	room
Q22669139	fresco
Q1770467	borough of Oslo
Q10330441	ministry of Sweden
Q20901295	foreign affairs ministry
Q15640053	tram system
Q2533461	autonomous administrative territorial entity
Q783023	Australian Badminton Championships
Q2990963	figure skating competition
Q27450	Austrian International Badminton Championships
Q2713747	division of the Australian House of Representatives
Q16334295	group of humans
Q4316503	Eastern Orthodox noncanonical church bodies
Q131734	brewery
Q66626342	urban ensemble
Q3252662	series finale
Q23005231	performing arts school
Q1055028	college of the University of Cambridge
Q12540664	distributor
Q696710	African Badminton Championships
Q799209	Asian Badminton Championships
Q799469	Badminton World Championships
Q692149	Badminton at the Island Games
Q2582669	rural district of Vietnam
Q15072454	region of Burma
Q55493	goods station
Q16837104	bairro
Q1110992	Guild of Saint Luke
Q1797187	artist society
Q2095	food
Q806493	Bangladeshi Badminton Championships
Q534426	Silicon Valley Classic
Q3250615	province of Oman
Q890545	arch dam
Q1518096	district of Mongolia
Q726492	EuroBasket Women
Q1136601	unitary authority of England
Q607958	charter airline
Q1407225	television award
Q589282	ward or electoral division of the United Kingdom
Q694225	Belgian International Badminton Championships
Q510578	Tour of Belgium
Q844531	district of Lesotho
Q17315624	state of Burma
Q851830	region of Côte d'Ivoire
Q56242235	Lutheran cathedral
Q110145	MTV Movie Awards
Q223703	MTV Video Music Award
Q1659844	information ministry
Q15646510	region of the Gambia
Q778129	light cruiser
Q28020127	fictional humanoid
Q54259	Klingon
Q1210950	channel
Q273057	discography
Q18744396	land association
Q512129	LEN European Aquatics Championships
Q423208	private school
Q6019423	Max Planck Institute
Q1683169	Japan Open Badminton Championships
Q20962530	fictional computer
Q18327510	fictional robot
Q109607	ruins
Q192601	oppidum
Q763590	vicus
Q193564	game engine
Q187432	scripting language
Q28869447	comic award
Q2775969	fictional planet
Q12959600	Constituent republics and provinces of Yugoslavia
Q8261	novel
Q637846	upper house
Q219577	holding company
Q33296715	Hufflepuff student
Q756102	open-air museum
Q526877	web series
Q842112	socialist state
Q234497	special forces
Q7132722	paper township of Ohio
Q62127	department of Haiti
Q1093580	Han surname
Q869042	region of Cameroon
Q1230132	district of the Bahamas
Q867597	province of Equatorial Guinea
Q843886	prefecture of the Central African Republic
Q2225692	fourth-level administrative division in Indonesia
Q917092	district of Paraguay
Q207326	summit
Q66742026	scout association
Q183288	National Olympic Committee
Q510662	ring road
Q30634609	heritage designation
Q2864737	religious art
Q867094	region of Burkina Faso
Q1137809	courthouse
Q1509716	collegiate church
Q43742	oasis
Q871217	province of Rwanda
Q1497375	ensemble
Q464980	exhibition
Q7950347	World Health Organization collaborating centre
Q5003624	memorial
Q682943	cricket field
Q1438040	research library
Q36524	authority control
Q521458	Infrastructure Manager
Q1656682	event
Q54592743	agricultural fair
Q3927245	quarter of Brescia
Q2989682	municipality of Kosovo
Q21608359	urban district of Vietnam
Q12311825	Danish parliamentary election
Q728145	department of Honduras
Q1550680	unorganized territory
Q581634	World Squash Championships
Q1807108	shipping line
Q1067116	region of Guinea
Q19832712	historical administrative division
Q15830	Pokémon region
Q671224	data center
Q874223	region of Eritrea
Q27971968	constituency of the House of Commons
Q1852119	district of Graz
Q190752	supreme court
Q18761864	bank building
Q188497	corps
Q858439	presidential election
Q2143781	drama school
Q2326317	City and municipal services
Q174921	Burschenschaft
Q3478786	water trail
Q1824674	league cup
Q4164871	position
Q889842	Bodil Awards
Q17319258	presidency of British India
Q1542343	independent record label
Q2655841	Municipality of Georgia
Q1803836	None
Q2131387	mass movement in the Deutsche Demokratische Republik
Q55043	gymnasium
Q1138671	Catholic school
Q174389	César Award
Q71076284	film editing award
Q15069452	Natura 2000 protected area
Q1930585	victory column
Q1311696	railway junction
Q56273712	source-available software
Q56884562	animated film series
Q12708896	FIFA World Cup final
Q720609	Rowing at the Summer Olympics
Q4826456	Automated guideway transit
Q3356012	None
Q877998	students' union
Q2387050	district of Mauritius
Q17374546	Australian rules football club
Q55586013	fictional government body
Q1004	comic
Q1365179	private mansion
Q2914501	department of Niger
Q15221373	fourth-class city
Q3559093	sanctuary city
Q55873388	Christmas-themed album
Q1307276	single-family detached home
Q653127	Badminton at the Commonwealth Games
Q159979	twin
Q22811668	archaeological institute
Q660304	Pacific Coast Ranges
Q7585305	Critics' Choice Movie Award
Q1746056	piano cycle
Q14763041	county of Ontario
Q16295254	upper-tier municipality
Q28060193	meteorological service
Q811930	building contractor
Q131183	cabaret
Q43791339	political party in Bulgaria
Q1330941	Royal Parks of London
Q33951	Milan – San Remo
Q497324	Polish Film Awards
Q475214	department of El Salvador
Q56219051	surname prefixed with Mac or Mc
Q1970725	natural region
Q4438121	sports organization
Q61196652	mummy in a work of fiction
Q1039648	UCI Oceania Tour
Q22231106	1.UWT
Q1273568	children's television series
Q2409750	district of Tanzania
Q762882	subregion of Finland
Q202744	ASB Classic
Q2115792	cercle of Mali
Q18510489	comic group
Q22276331	Greenlandic general election
Q1665357	arrondissement of Haiti
Q2292572	district of Costa Rica
Q5257307	prize
Q1750854	parish of Saint Kitts and Nevis
Q658255	subsidiary
Q426759	League of Nations mandate
Q194195	amusement park
Q874821	county of Liberia
Q2403977	prison labour camp
Q28793904	porticoed square
Q1378781	Grand Lodge
Q63171169	rugby union franchise
Q58973026	rugby union governing body
Q1770249	government directorate
Q1740654	khlong
Q11422536	international sport governing body
Q1107	anime
Q285181	eparchy
Q1002697	periodical
Q2614970	district of Algeria
Q5828421	Chilean parliamentary election
Q494829	bus station
Q14092	gymnasium
Q861951	police station
Q4413925	seat village
Q28864179	proposed country
Q613969	Vuelta Ciclista de Chile
Q860861	sculpture
Q378508	municipality of Angola
Q117827	Open GDF Suez
Q55430416	town in Alberta
Q25631158	highway system
Q748331	stanitsa
Q1418979	French International Badminton Championships
Q1044427	Primetime Emmy Award
Q2989457	urban-type settlement
Q15849374	subdistrict of the German Democratic Republic
Q695984	Cyprus International Badminton Championships
Q1162560	Hungarian Team Badminton Championships
Q1267784	Dutch International Badminton Championships
Q1141381	IAAF World Cross Country Championships
Q23012917	village of Burkina Faso
Q1070942	commune-level town of Vietnam
Q19610511	township
Q1433086	Mauritius International Badminton Championships
Q3032114	district of Madrid
Q1814169	physics laboratory
Q63208555	city in Gabon
Q1003631	Bulgarian International Badminton Championships
Q21246076	rowing event
Q1011547	Golden Globe Award
Q2928458	royal burgh
Q61089180	part of municipality in the Czech Republic
Q158490	Gaeltacht
Q171308	oblast
Q12645496	Districts of Zagreb
Q734271	mass grave
Q1434274	field name
Q26894053	basketball team season
Q245016	military base
Q25377665	gambling city
Q43060	online music store
Q1156831	umbrella organization
Q695850	military airbase
Q17334112	historical park of Thailand
Q30022	café
Q11707	restaurant
Q7265977	former municipality of the Netherlands
Q161387	kibbutz
Q16333842	victim of Stalinism
Q65660821	None
Q1032264	Canadian Open Badminton Championships
Q5592057	through arch bridge
Q818882	tied-arch bridge
Q399811	Japanese television drama
Q20639848	club cycling team
Q3719391	sheet music publisher
Q783794	company
Q14846918	district of Cambodia
Q33937	Vuelta a España
Q51031626	sport competition at a multi-sport event
Q2151232	townland
Q28444913	Cannes Film Festival Award
Q24649023	online store
Q1114515	comics publishing company
Q15379753	British Dependent Territory
Q3373417	country of origin
Q23719064	yearly prize
Q2878855	bus rapid transit
Q20089094	live video album
Q1850674	regional district of British Columbia
Q83620	thoroughfare
Q231302	shōnen
Q670258	BinckBank Tour
Q844054	tram-train
Q1192191	airport rail link
Q194166	consortium
Q21509286	Chicago Film Critics Association Awards
Q173387	grave
Q1073355	China Open Badminton Championships
Q3399573	Asian art
Q1075347	Chlotrudis Awards
Q299425	Portugal Open
Q935277	salt pan
Q195339	research station
Q20746389	missionary society
Q625160	ecclesiastical province
Q2972684	Parisian cemetery
Q19862406	business
Q955021	Circuit de la Sarthe
Q184368	cirque
Q159954	caldera
Q21503295	district with city status
Q15070223	cité
Q684740	real property
Q18592743	region of Oman
Q45053817	secondary national association football team
Q1327578	Iceland International Badminton Championships
Q1618899	fashion label
Q1267829	Dutch Open Badminton Championships
Q28455120	treason trial
Q3333855	metropole
Q423790	urban community
Q18706221	None
Q1123481	design award
Q55678	railway halt
Q12493	dome
Q3055075	entertainment district
Q1278452	polyptych
Q3220391	social networking service
Q1763828	multi-purpose hall
Q685935	trade magazine
Q15409298	ministry of Japan
Q917441	environment ministry
Q22808320	Wikimedia human name disambiguation page
Q112046	transmission system operator
Q18011171	unfinished or abandoned film project
Q890055	presidential election in France
Q268200	Screen Actors Guild Award
Q238982	Copa Colsanitas
Q34627	synagogue
Q105447	Saturn Award
Q5195043	borough
Q483242	laboratory
Q2624320	United States national laboratory
Q211302	glacial lake
Q185113	cape
Q191992	headland
Q913337	province of the Dominican Republic
Q1075106	state university system
Q1140677	Croatian International Badminton Championships
Q3238851	main line
Q1002812	metropolitan borough
Q500834	tournament
Q420962	heritage railway
Q1172903	loch
Q955655	municipality of Iceland
Q1149324	Czech International Badminton Championships
Q1149395	Czechoslovakian International Badminton Championships
Q630638	preserved county of Wales
Q1152547	GDR Badminton Championships
Q1152708	GDR Badminton Oberliga
Q612709	Tour de GDR
Q1074150	shogunate
Q4482688	feudal monarchy
Q18142	high-rise building
Q17537576	creative work
Q11455398	patronymic surname
Q110874	patronymic
Q5774403	historical society
Q15974764	Community of universities and higher education institutions (France)
Q48975698	Cluster of Excellence
Q311836	Independent Spirit Awards
Q2865305	trading company
Q2961832	national broadcast channel
Q1141770	Crown entity
Q5888666	home rule municipality of Pennsylvania
Q1188736	Denmark Open Badminton Championships
Q426043	free church
Q26262476	third-level administrative country subdivision in Indonesia
Q1054760	Super Sentai
Q484692	hymn
Q40553563	restaurant district
Q3610510	ethnic enclave
Q1061648	sovereign wealth fund
Q3064474	province of Fiji
Q12280	bridge
Q1389604	unitary enterprise
Q20740204	division of Tonga
Q64167531	None
Q1966910	national academy
Q1203472	German Badminton Championships
Q64062850	culture collection
Q708731	Deutscher Filmpreis
Q166118	archives
Q53759838	music archive
Q179671	nation state
Q2828218	air navigation service provider
Q1725370	literary scholarship
Q45107780	silent film series
Q26263224	international tunnel
Q207524	islet
Q787113	promenade
Q1753792	quarter of Saint Lucia
Q184358	reef
Q1803820	landscape park
Q35749	parliament
Q4271324	mythical character
Q21070568	human who may be fictional
Q13002315	legendary figure
Q689657	US Open Badminton Championships
Q2001330	Norwegian International Badminton Championships
Q3054803	private higher education in France
Q43639983	political party in Croatia
Q2522738	Victoria International Badminton Championships
Q2693624	jubilee medal
Q644930	mission sui iuris
Q480242	statistical service
Q1257171	Driedaagse van West-Vlaanderen
Q17102188	train operating company
Q2315299	Sri Lankan Badminton Championships
Q1529	traffic circle
Q12063697	neighborhood of Washington, D.C.
Q1376114	Malaysia Open Badminton Championships
Q505799	Danmark Rundt
Q960248	Danish Badminton Championships
Q918324	control tower
Q6644696	village in Alberta
Q3519259	count
Q23002052	private for-profit educational institution
Q189445	bicameral legislature
Q2008050	municipality of Albania
Q28017630	Municipal unit of Albania
Q934744	political scandal
Q588140	science museum
Q1781629	Konica Cup
Q9842	primary school
Q63355371	partial reserve
Q2467831	US Badminton Championships
Q12973014	sports team
Q21001649	potentially active volcano
Q1740580	Kharkov International Badminton Championships
Q1161047	IAAF Continental Cup
Q283202	harbor
Q88205	castrum
Q206361	concern
Q1319876	World Allround Speed Skating Championships
Q1462047	vilayet of the Ottoman Empire
Q20168706	Fraunhofer Institute
Q6497384	Vulcan
Q72607030	Monster of the Week
Q48790109	Special intervention unit
Q1057214	private military company
Q55237813	village of New York
Q2539769	Bavarian Landtag electoral region
Q1151733	baseball position
Q28538792	None
Q1810278	Le Volant d'Or de Toulouse
Q939616	secret service
Q2003221	order of chivalry
Q1066330	submarine-launched ballistic missile
Q19828545	Separate Operating Agency
Q19828505	Field Operating Agency
Q41254	Grammy Award
Q1670208	Thai Badminton Championships
Q18640746	Primetime Emmy Award annual ceremony
Q1233985	English Badminton Championships
Q245596	cycle
Q28790362	ethnic community
Q2026833	garden square
Q17301072	district municipality of Lithuania
Q21191019	Japanese TV series
Q838948	work of art
Q659396	equestrian statue
Q14911880	Catholic seminary
Q19723444	cell phone model
Q455315	compilation film
Q696677	Thailand Open Badminton Championships
Q2881272	district of New Zealand
Q1455275	French Open Badminton Championships
Q1006311	war of national liberation
Q1368848	literary magazine
Q1791899	cultural magazine
Q2087773	region of Guyana
Q1370324	Estonian Badminton Championships
Q1370420	Estonian International Badminton Championships
Q543654	city hall
Q24718627	North Korean parliamentary election
Q15411644	town of Virginia
Q28575	county
Q746310	stave church
Q223740	European Film Awards
Q212828	Goya Awards
Q874919	State Government
Q15715406	neighbourhood of Helsinki
Q131263	barracks
Q1348006	city block
Q1803360	Vietnam International Badminton Championships
Q2466826	UCI Women's Team
Q32880	architectural style
Q37726	army
Q21782627	Kreishauptmannschaft of Saxony
Q1622062	college library
Q1412253	Fiji International Badminton Championships
Q655677	branch line
Q1064063	private railway
Q1752398	Portuguese Badminton Championships
Q851124	List of neighborhoods of Budapest
Q1416296	None
Q15711797	finance ministry
Q191355	hunger strike
Q1418147	Finnish Open Badminton Championships
Q571398	Antarctic oasis
Q15977900	Festival of German-Language Literature
Q18247357	group of structures or buildings
Q1997853	hit single
Q428602	university-preparatory school
Q158454	biosphere reserve
Q1620945	historically black colleges and universities
Q1129474	cultural landscape
Q10438042	bus company
Q5124673	civil parish
Q2578338	Regionaal Landschap
Q3270264	legislature of a U.S. state
Q1358344	newscast
Q49848	document
Q820655	act
Q131569	treaty
Q3320743	title of honor
Q46342540	regional organization of People's Party
Q1450598	French Badminton Championships
Q1025846	Tour du Limousin
Q7835189	public transport authority
Q11774746	atoll of the Maldives
Q428303	Chess Olympiad
Q2542334	Welsh Badminton Championships
Q3950	villa
Q7894996	university college
Q2024454	Online Film Critics Society
Q736917	formation
Q893775	National Monument of the United States
Q1353040	coast guard
Q2551394	sea rescue organisation
Q842256	musical film
Q61718170	subcommittee
Q1768043	Metropolitan Statistical Area
Q244793	twin cities
Q2105303	Portugal International Badminton Championships
Q1331793	media enterprise
Q25537498	military junta
Q1882522	Macau Open Badminton Championships
Q1360016	Examination Association
Q59242682	cooperative union
Q726929	film archive
Q1415133	film museum
Q26944969	photography museum
Q22269333	Latvian parliamentary election
Q209495	historical province of France
Q279820	Gouden Kalf
Q328539	German Open Badminton Championships
Q971831	region of Madagascar
Q2094331	None
Q1391145	professional society
Q1391517	federation of labor unions
Q3345345	municipality of Latvia
Q856234	academic library
Q2208411	heritage library
Q184296	tapestry
Q381165	trophy
Q2156429	cup
Q386724	work
Q1792571	art prize
Q428759	wooden bridge
Q1370853	Sudirman Cup
Q20826063	gorsedd
Q16858238	train category
Q570730	platform screen door
Q2048934	Pan American Badminton Championships
Q273120	protest
Q1310653	Swedish Royal Academies
Q24529780	point
Q188823	scholarship
Q20006438	fellowship
Q3491088	mesoregion
Q1367500	marine protected area
Q1544524	Greece International Badminton Championships
Q640506	cabinet
Q2491498	pop group
Q17485079	church ruin
Q1390124	Nouméa International Badminton Championships
Q1853314	Dutch Badminton Championships
Q235557	file format
Q17468533	former municipality of Finland
Q2565953	artistic gymnastics at the Summer Olympics
Q3397526	stone bridge
Q506412	transporter bridge
Q193934	paperback
Q53541099	royal villa
Q1818761	regional natural park
Q2430594	moraine-dammed lake
Q61676930	pharmacy chain
Q883188	None
Q1579590	Helvetia Cup
Q3044930	provincial deputation
Q12377751	building under construction
Q1955139	Music College
Q614084	consumer cooperative
Q7969215	ward of the City of London
Q16632355	futsal team
Q76453115	fictional physician
Q1981535	New Zealand Badminton Championships
Q1626942	Hong Kong Open Badminton Championships
Q349772	radio interferometer
Q33093130	cosmic microwave background experiment
Q1784409	New Gods
Q5174137	cosmic entity
Q1431283	Volta ao Algarve
Q25391823	punk band
Q578521	borough of Montreal
Q1632327	Indonesia International Badminton Championships
Q357375	secular building
Q10590726	video album
Q756827	Tour Down Under
Q924286	transport network
Q1637740	Hungarian International Badminton Championships
Q481289	official residence
Q57821	fortification
Q45776	fjord
Q3855553	metahuman
Q487654	Paris–Nice
Q2031291	release
Q19723451	smartphone model
Q1631888	parish of Barbados
Q900341	Laureus World Sports Awards
Q2376564	interchange
Q15891112	upper house of U.S. state legislature
Q19905455	borough
Q1153257	NAACP Image Award
Q1661531	Indian Badminton Championships
Q963908	Private Hochschule
Q73364223	society journal
Q2864207	constituency of the canton of Lucerne
Q612741	United States National Forest
Q1433192	Irish Badminton Championships
Q375545	Irish Open Badminton Championships
Q1674283	Icelandic Badminton Championships
Q1675034	Italian International Badminton Championships
Q2082774	shieling
Q2282602	housing estate
Q1679821	Jamaican International Badminton Championships
Q617807	department of Ivory Coast
Q2900244	covered passages of Paris
Q28968511	traditionally animated film
Q2540626	Waikato International Badminton Championships
Q75179296	ice hockey league
Q271680	software framework
Q627517	history journal
Q1298632	district of Sierra Leone
Q1723513	Canadian Badminton Championships
Q3327899	municipality of Ontario
Q1826986	Soyuz 7K-TM
Q15059873	Kaohsiung International Badminton Championships
Q878249	alliance
Q1774587	hospital network
Q13402009	apartment building
Q6692780	low-rise building
Q22341286	Egyptian parliamentary election
Q29592127	badminton association
Q1417217	African Championships in Athletics
Q334383	abbey church
Q2177010	Russian Open Badminton Championships
Q4240305	cross
Q9174	religion
Q22342153	Moroccan parliamentary election
Q1261214	television special
Q268357	UCI Africa Tour
Q368860	Internationaux de Strasbourg
Q1969240	national park of Thailand
Q1274559	Welsh International Badminton Championships
Q3263368	department of Mauritania
Q718893	theater
Q192350	ministry
Q17773527	None
Q2915366	geological survey
Q643962	rover
Q1136730	solar vehicle
Q9248092	infantry division
Q43898142	group of bridges
Q29043077	civil parish group
Q4359230	characters from James Bond series
Q18376486	Landscape conservation area
Q1309052	None
Q11315	shopping mall
Q540439	Korea Open Badminton Championships
Q18615527	tram bridge
Q18131152	round
Q485321	prologue
Q1516453	lieutenant governor
Q21851888	district of the city
Q697295	shrine
Q4588528	holy place
Q1709894	journalism prize
Q17507349	district of British India
Q6540832	liberal arts college in the United States
Q1062345	player character
Q215972	protagonist
Q2517292	Slayer
Q1595639	local museum
Q58911074	Denkmalfachbehörde
Q1803002	None
Q5283531	district of Prussia
Q40231	election
Q1805717	Laos International Badminton Championships
Q31345	Osaka International Badminton Championships
Q11082837	volute krater
Q544710	Tashkent Open
Q287950	GP Ouest-France
Q30061299	ghost in a work of fiction
Q16976589	service medal
Q93204	documentary film
Q4057728	District of Yerevan
Q21013734	None
Q574990	hofje
Q599219	E3 BinckBank Classic
Q34315358	demon in a work of fiction
Q2446662	tourism ministry
Q2597772	district of Antwerp
Q55687066	local government area of Tasmania
Q33970	Tour of Flanders
Q506219	multiple rocket launcher
Q21032622	space grant institution
Q22333900	Turkish general election
Q1897017	air battle
Q1952852	municipality of Mexico
Q1502455	Lithuanian Badminton Championships
Q2145163	trunk road
Q14978	icebreaker
Q15206070	popular music venue
Q2190251	arts centre
Q21028957	Hochschule
Q1877868	Luther Monument
Q509028	ranch
Q1021106	Bürgerhaus
Q1343246	English country house
Q1678289	hunting cabin
Q23005233	ballet school
Q1745026	naval arsenal
Q1589568	district municipality of South Africa
Q801716	Train shed
Q20646668	mountain stage
Q459528	Monte-Carlo Masters
Q971252	Scheldeprijs
Q17276480	subdistrict of the canton of Ticino
Q3201814	fast tram stop
Q14750991	Commonwealth War Graves Commission maintained cemetery
Q35535	police
Q9078534	honor society
Q6593035	separated municipality in Ontario
Q1994931	district of Malaysia
Q841646	national preserve
Q2106220	postal museum
Q2398990	technology museum
Q15210668	lower-tier municipality
Q2602693	municipality of Honduras
Q154224	muggle
Q20857065	United States federal agency
Q1350697	National Film Awards
Q17130641	Syssel
Q18089617	clay animation film
Q191093	province of South Africa
Q1107656	garden
Q158626	beam bridge
Q7100864	Ordish–Lefeuvre system
Q55075651	upland
Q1983296	New Zealand Open Badminton Championships
Q309170	Denmark in the Eurovision Song Contest
Q2288051	party conference
Q2415599	Congress of the Communist Party of the Soviet Union
Q1724017	canton of Ecuador
Q9275869	borders of Deutschland
Q719693	borders of France
Q1747681	artist museum
Q3215290	artificial lake
Q2137251	rowing and canoeing venue
Q3326867	painting movement
Q1315945	Nordic Badminton Championships
Q2739132	World Allround Speed Skating Championships for Men
Q155930	maritime transport
Q521972	Czechoslovak Republic
Q209824	oblast of Bulgaria
Q1363145	municipality of Lithuania
Q184303	gift
Q331225	Fabergé egg
Q1298292	European Orienteering Championships
Q499247	Scottish clan
Q580112	military district
Q914019	Brabantse Pijl
Q4140840	lost artwork
Q1462977	Badminton at the Pan American Games
Q2618461	legislative election
Q506447	Omloop Het Nieuwsblad
Q178706	institution
Q18227834	administrative territorial entity of the NKAO
Q2067749	Badminton at Pekan Olahraga Nasional
Q20683379	district of the Pridnestrovian Moldavian Republic
Q1416863	statistical region of North Macedonia
Q18867064	uyezd of the Soviet Union
Q19594662	fictional fox
Q76450109	mutant
Q73502689	Teenage Mutant Ninja Turtles character
Q24668268	fictional mouse or rat
Q751030	department of Senegal
Q2087865	Philippines Badminton Championships
Q49025	Volpi Cup
Q30061600	undead in a work of fiction
Q7317885	revenants in fiction
Q39026077	zombie in fiction and pop culture
Q2493450	juvenile political organisation
Q62832	observatory
Q11774771	county of Nova Scotia
Q18810091	census division of Canada
Q298750	Austria in the Eurovision Song Contest
Q42723927	None
Q611810	T 47-class destroyer
Q916475	Historical Monument
Q877358	United Nations Security Council resolution
Q3277997	cooperative bank
Q202444	given name
Q702081	water board in the Netherlands
Q40256562	intracity district of Belarus
Q494230	medical school
Q1577513	commune of Burundi
Q64514668	ska band
Q156030	Liman
Q291177	rose garden
Q2063507	leisure area
Q541692	Trill
Q3947	house
Q3088847	World Allround Speed Skating Championships for Women
Q73278267	copyright holder's organisation
Q5436782	fashion museum
Q448936	Elfstedentocht
Q15331236	fictional family
Q56582861	Route impériale
Q16948252	radio award
Q15229229	theatre award
Q669272	Tour de East Java
Q2249297	Scottish Badminton Championships
Q2255260	Swedish Badminton Championships
Q2261202	Scottish Open Badminton Championships
Q12104174	ethnographic museum
Q841654	competition
Q5073797	Characters in Disney's Beauty and the Beast
Q64578911	former hospital
Q2297714	European Athletics U23 Championships
Q46337	manifesto
Q34023	tumulus
Q732948	society of apostolic life
Q159334	secondary school
Q15707521	fictional battle
Q1358044	Singapore International Badminton Championships
Q120804	Singapore Open Badminton Championships
Q6005015	academic gymnasium
Q203784	Slovenia International Badminton Championships
Q682154	Drama Desk Award
Q2026188	panoramic painting
Q1147753	cyclorama
Q2304242	South Africa International Badminton Championships
Q1870831	parish of Saint Vincent and the Grenadines
Q930866	Presidential Cycling Tour of Turkey
Q689703	Spanish International Badminton Championships
Q2416723	theme park
Q2590445	fictional ethnic group
Q1145276	fictional country
Q57662985	country in a fiction work
Q36378425	parliamentary group of the French National Assembly
Q3587386	French Presidential election under the Third Republic
Q2860410	cantonal archive
Q14659	coat of arms
Q853565	barony
Q3297186	limited series
Q63099748	hotel building
Q188628	board of directors
Q74562105	government committee
Q15720793	fictional building
Q30061294	supernatural being in a work of fiction
Q846659	Jewish cemetery
Q299685	Queen's Club Championships
Q7372078	rowing club
Q1215981	comarca of Biscay
Q26944892	ethnological museum
Q847959	social cataloging application
Q182676	mountain hut
Q3556789	district of Madagascar
Q60047	mukim of Brunei
Q620471	upazila of Bangladesh
Q5086782	charter township of Michigan
Q180958	faculty
Q5267014	Device Fort
Q628010	Swedish International Stockholm
Q2372330	Swedish Open Badminton Championships
Q688120	Swiss Open Badminton Championships
Q11796413	decoration
Q15994170	writers’ organization
Q17853087	merge
Q14500296	tramway tunnel
Q532998	manhole
Q1474754	level staff
Q170980	obelisk
Q19826646	meridian marker
Q2692757	Stadsroute
Q499720	autonomous oblast of a union republic of the Soviet Union
Q200764	bookstore
Q1138826	Asian Athletics Championships
Q1445650	holiday
Q20900468	Slavic folk holiday
Q157475	Züri-Metzgete
Q2860456	departmental archives
Q380342	manufactory
Q11396960	production company
Q37620527	theatre chain
Q57775519	upper secondary school
Q16739079	municipalities of Cyprus Republic
Q15631887	department of the Batavian Republic
Q180174	folly
Q30174902	fictional shapeshifter
Q131401	caliphate
Q7448178	self-proclaimed monarchy
Q21512251	self-proclaimed state
Q16939396	toll road
Q54552	cadet corps
Q691503	Tour de Bretagne Cycliste
Q2297177	Tour de Normandie
Q22231113	2.2
